accession,host_group,anomaly_type,feature_kind,auc,precision_at_k,anomaly_windows,total_windows
GCF_053901285.1,coffee,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_053901285.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_053901285.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_053901285.1,coffee,foreign_segment,amino_class,0.9866071428571429,0.75,4,60
GCF_001469345.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_001469345.1,coffee,clustered_substitution,codon64,0.9464285714285714,0.25,4,60
GCF_001469345.1,coffee,clustered_substitution,amino_class,0.96875,0.75,4,60
GCF_001469345.1,coffee,codon_order_shuffle,composition,0.6071428571428571,0.25,4,60
GCF_001469345.1,coffee,codon_order_shuffle,codon64,0.9866071428571429,0.75,4,60
GCF_001469345.1,coffee,codon_order_shuffle,amino_class,0.9598214285714286,0.75,4,60
GCF_001469345.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_001469345.1,coffee,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_001469345.1,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_001469395.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_001469395.1,coffee,clustered_substitution,codon64,0.9196428571428571,0.25,4,60
GCF_001469395.1,coffee,clustered_substitution,amino_class,0.9866071428571429,0.75,4,60
GCF_001469395.1,coffee,codon_order_shuffle,composition,0.5803571428571429,0.0,4,60
GCF_001469395.1,coffee,codon_order_shuffle,codon64,0.9776785714285714,0.75,4,60
GCF_001469395.1,coffee,codon_order_shuffle,amino_class,0.9955357142857143,0.75,4,60
GCF_001469395.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_001469395.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_001469395.1,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_042241145.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_042241145.1,other_prunus,clustered_substitution,codon64,1.0,1.0,4,60
GCF_042241145.1,other_prunus,clustered_substitution,amino_class,0.9821428571428571,0.5,4,60
GCF_042241145.1,other_prunus,codon_order_shuffle,composition,0.4375,0.0,4,60
GCF_042241145.1,other_prunus,codon_order_shuffle,codon64,0.9508928571428571,0.5,4,60
GCF_042241145.1,other_prunus,codon_order_shuffle,amino_class,0.9330357142857143,0.75,4,60
GCF_042241145.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_042241145.1,other_prunus,foreign_segment,codon64,1.0,1.0,4,60
GCF_042241145.1,other_prunus,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_053901405.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_053901405.1,other_prunus,clustered_substitution,codon64,0.9910714285714286,0.75,4,60
GCF_053901405.1,other_prunus,clustered_substitution,amino_class,0.96875,0.75,4,60
GCF_053901405.1,other_prunus,codon_order_shuffle,composition,0.546875,0.0,4,60
GCF_053901405.1,other_prunus,codon_order_shuffle,codon64,0.9196428571428571,0.5,4,60
GCF_053901405.1,other_prunus,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_053901405.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_053901405.1,other_prunus,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_053901405.1,other_prunus,foreign_segment,amino_class,1.0,1.0,4,60
GCF_053901235.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_053901235.1,other_prunus,clustered_substitution,codon64,0.9955357142857143,0.75,4,60
GCF_053901235.1,other_prunus,clustered_substitution,amino_class,0.9508928571428571,0.5,4,60
GCF_053901235.1,other_prunus,codon_order_shuffle,composition,0.47767857142857145,0.0,4,60
GCF_053901235.1,other_prunus,codon_order_shuffle,codon64,0.9508928571428571,0.5,4,60
GCF_053901235.1,other_prunus,codon_order_shuffle,amino_class,0.9821428571428571,0.75,4,60
GCF_053901235.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_053901235.1,other_prunus,foreign_segment,codon64,1.0,1.0,4,60
GCF_053901235.1,other_prunus,foreign_segment,amino_class,0.9955357142857143,0.75,4,60
GCF_042242545.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_042242545.1,other_prunus,clustered_substitution,codon64,0.9419642857142857,0.5,4,60
GCF_042242545.1,other_prunus,clustered_substitution,amino_class,0.9508928571428571,0.5,4,60
GCF_042242545.1,other_prunus,codon_order_shuffle,composition,0.48214285714285715,0.0,4,60
GCF_042242545.1,other_prunus,codon_order_shuffle,codon64,0.9821428571428571,0.75,4,60
GCF_042242545.1,other_prunus,codon_order_shuffle,amino_class,0.9821428571428571,0.75,4,60
GCF_042242545.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_042242545.1,other_prunus,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_042242545.1,other_prunus,foreign_segment,amino_class,0.9553571428571429,0.5,4,60
GCF_001456295.2,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_001456295.2,other_prunus,clustered_substitution,codon64,0.9642857142857143,0.5,4,60
GCF_001456295.2,other_prunus,clustered_substitution,amino_class,0.96875,0.5,4,60
GCF_001456295.2,other_prunus,codon_order_shuffle,composition,0.6339285714285714,0.0,4,60
GCF_001456295.2,other_prunus,codon_order_shuffle,codon64,0.9732142857142857,0.5,4,60
GCF_001456295.2,other_prunus,codon_order_shuffle,amino_class,0.9196428571428571,0.75,4,60
GCF_001456295.2,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_001456295.2,other_prunus,foreign_segment,codon64,0.9866071428571429,0.75,4,60
GCF_001456295.2,other_prunus,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_003515915.2,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_003515915.2,other_prunus,clustered_substitution,codon64,0.9107142857142857,0.25,4,60
GCF_003515915.2,other_prunus,clustered_substitution,amino_class,0.9776785714285714,0.5,4,60
GCF_003515915.2,other_prunus,codon_order_shuffle,composition,0.17857142857142858,0.0,4,60
GCF_003515915.2,other_prunus,codon_order_shuffle,codon64,0.9732142857142857,0.75,4,60
GCF_003515915.2,other_prunus,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_003515915.2,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_003515915.2,other_prunus,foreign_segment,codon64,1.0,1.0,4,60
GCF_003515915.2,other_prunus,foreign_segment,amino_class,1.0,1.0,4,60
GCF_015475955.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_015475955.1,other_prunus,clustered_substitution,codon64,0.8973214285714286,0.25,4,60
GCF_015475955.1,other_prunus,clustered_substitution,amino_class,0.8035714285714286,0.5,4,60
GCF_015475955.1,other_prunus,codon_order_shuffle,composition,0.5334821428571429,0.25,4,60
GCF_015475955.1,other_prunus,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_015475955.1,other_prunus,codon_order_shuffle,amino_class,0.9955357142857143,0.75,4,60
GCF_015475955.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_015475955.1,other_prunus,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_015475955.1,other_prunus,foreign_segment,amino_class,1.0,1.0,4,60
GCF_055690575.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_055690575.1,other_prunus,clustered_substitution,codon64,0.9598214285714286,0.5,4,60
GCF_055690575.1,other_prunus,clustered_substitution,amino_class,0.9464285714285714,0.75,4,60
GCF_055690575.1,other_prunus,codon_order_shuffle,composition,0.5535714285714286,0.25,4,60
GCF_055690575.1,other_prunus,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_055690575.1,other_prunus,codon_order_shuffle,amino_class,0.9241071428571429,0.25,4,60
GCF_055690575.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_055690575.1,other_prunus,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_055690575.1,other_prunus,foreign_segment,amino_class,0.8794642857142857,0.75,4,60
GCF_042243345.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_042243345.1,other_prunus,clustered_substitution,codon64,0.8616071428571429,0.25,4,60
GCF_042243345.1,other_prunus,clustered_substitution,amino_class,0.9866071428571429,0.75,4,60
GCF_042243345.1,other_prunus,codon_order_shuffle,composition,0.15625,0.0,4,60
GCF_042243345.1,other_prunus,codon_order_shuffle,codon64,0.9107142857142857,0.25,4,60
GCF_042243345.1,other_prunus,codon_order_shuffle,amino_class,0.90625,0.75,4,60
GCF_042243345.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_042243345.1,other_prunus,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_042243345.1,other_prunus,foreign_segment,amino_class,0.9866071428571429,0.75,4,60
GCF_028640715.1,other_prunus,clustered_substitution,composition,1.0,1.0,4,60
GCF_028640715.1,other_prunus,clustered_substitution,codon64,0.9508928571428571,0.25,4,60
GCF_028640715.1,other_prunus,clustered_substitution,amino_class,0.7946428571428571,0.25,4,60
GCF_028640715.1,other_prunus,codon_order_shuffle,composition,0.45982142857142855,0.25,4,60
GCF_028640715.1,other_prunus,codon_order_shuffle,codon64,0.9821428571428571,0.75,4,60
GCF_028640715.1,other_prunus,codon_order_shuffle,amino_class,0.9955357142857143,0.75,4,60
GCF_028640715.1,other_prunus,foreign_segment,composition,1.0,1.0,4,60
GCF_028640715.1,other_prunus,foreign_segment,codon64,1.0,1.0,4,60
GCF_028640715.1,other_prunus,foreign_segment,amino_class,1.0,1.0,4,60
